nombre,correo,cedula,telefono,password,direccion,id_carrera,id_estado,periodos_cursados,asignaturas_aprobadas,indice_general
Simon Greene,sgreene@gmail.com,179-0475134-0,670-117-1978,equipo5*123,Calle 1 Elm,24,1,11,88,3.522322092
Christian Springer,cspringer@gmail.com,346-9851876-7,332-992-2892,equipo5*123,Calle 87 Elm,19,1,1,8,3.032872971
Dominic Baker,dbaker@gmail.com,328-9278037-2,505-783-9648,equipo5*123,Calle 95 Pine,21,2,12,72,3.076918235
Jake Hemmings,jhemmings@gmail.com,243-8932784-5,771-179-5142,equipo5*123,Calle 55 Oak,26,2,5,40,3.523650688
Gordon Grant,ggrant@gmail.com,699-4021102-0,576-984-3371,equipo5*123,Calle 85 Maple,12,2,1,8,3.772544981
Dylan Skinner,dskinner@gmail.com,941-6299295-8,856-236-2020,equipo5*123,Calle 69 Main,6,2,2,16,3.512512337
Sean Parr,sparr@gmail.com,253-9257978-5,510-955-0057,equipo5*123,Calle 9 Main,3,1,20,120,3.073510909
Megan Graham,mgraham@gmail.com,903-9870265-5,942-260-2614,equipo5*123,Calle 22 Elm,5,1,6,48,3.73969044
Madeleine Allan,mallan@gmail.com,534-2454465-5,634-597-1924,equipo5*123,Calle 39 Maple,19,1,5,40,3.164904697
Diana Black,dblack@gmail.com,700-6241522-0,558-183-2721,equipo5*123,Calle 65 Maple,14,1,16,96,3.947633937
Carl Springer,cspringer@gmail.com,433-1678664-9,863-809-4169,equipo5*123,Calle 70 Maple,6,2,15,120,3.48618919
Deirdre Lewis,dlewis@gmail.com,995-7635263-9,768-313-6977,equipo5*123,Calle 37 Main,10,2,13,78,3.408876876
Carl Baker,cbaker@gmail.com,201-9673016-9,612-623-3171,equipo5*123,Calle 49 Main,3,2,16,96,3.86579132
Alison Wright,awright@gmail.com,962-0983283-7,194-572-1595,equipo5*123,Calle 95 Maple,9,2,4,32,3.550498824
Lucas Gray,lgray@gmail.com,495-4008087-4,418-028-6479,equipo5*123,Calle 58 Oak,21,2,1,6,3.986429692
Emily Underwood,eunderwood@gmail.com,614-5208582-6,327-911-2881,equipo5*123,Calle 51 Main,7,1,14,112,3.018343756
Zoe Payne,zpayne@gmail.com,851-7448076-8,591-907-8904,equipo5*123,Calle 32 Oak,12,1,13,104,3.491451678
Emily Hart,ehart@gmail.com,588-2782512-2,196-066-6516,equipo5*123,Calle 6 Oak,21,2,4,32,3.138573453
Madeleine Hodges,mhodges@gmail.com,203-8923868-2,392-471-7110,equipo5*123,Calle 13 Maple,14,2,6,42,3.990948412
Diana Fisher,dfisher@gmail.com,401-5060537-3,251-276-1212,equipo5*123,Calle 62 Maple,28,2,16,112,3.818986204
Diana Manning,dmanning@gmail.com,552-9837246-9,337-124-2330,equipo5*123,Calle 78 Oak,27,1,12,72,3.893613368
Heather Hodges,hhodges@gmail.com,285-5688883-2,437-365-3361,equipo5*123,Calle 86 Pine,19,2,5,40,3.527936096
Dominic Knox,dknox@gmail.com,112-4102240-0,809-183-0072,equipo5*123,Calle 87 Pine,5,2,4,32,3.755845099
Nicholas Rees,nrees@gmail.com,732-8903050-7,901-360-4936,equipo5*123,Calle 7 Maple,5,2,11,77,3.126274806
Harry Manning,hmanning@gmail.com,111-0762625-9,974-331-7013,equipo5*123,Calle 66 Maple,28,2,10,80,3.668751818
Austin Grant,agrant@gmail.com,279-9466729-9,551-045-7823,equipo5*123,Calle 45 Oak,4,2,9,72,3.564850321
Jake Edmunds,jedmunds@gmail.com,299-9124910-0,727-710-9691,equipo5*123,Calle 32 Oak,9,2,20,160,3.940269512
Justin Underwood,junderwood@gmail.com,696-0614526-4,657-901-8420,equipo5*123,Calle 40 Maple,17,2,2,16,3.408707833
Madeleine Smith,msmith@gmail.com,179-1269274-7,444-212-5278,equipo5*123,Calle 50 Elm,22,1,12,84,3.856869219
Zoe May,zmay@gmail.com,689-6540403-7,413-372-4828,equipo5*123,Calle 62 Elm,3,1,9,54,3.381845917
Connor Bower,cbower@gmail.com,277-7457989-8,970-413-8878,equipo5*123,Calle 86 Oak,20,2,1,6,3.863587073
Keith Nolan,knolan@gmail.com,334-5385942-2,177-598-3224,equipo5*123,Calle 67 Main,25,1,18,108,3.721791086
Sam Gray,sgray@gmail.com,245-6359303-8,141-081-8981,equipo5*123,Calle 36 Pine,4,2,19,114,3.983950784
Alison Fisher,afisher@gmail.com,729-9450061-1,349-098-1592,equipo5*123,Calle 23 Pine,11,2,6,36,3.220405743
